[BACKFILL] Markets to process: 360 (limit=2000, geo_only=True, dry_run=True)
[DRY-RUN][CLOB-ASSERT] 0x34dd11cea3bd299fa6... 'Will Emmanuel Macron be the next leader ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x352fe955652102d0c2... 'Will Trump send the national guard to Ba' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x369a8e8477f5679646... 'Odds of US x Venezuela military engageme' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x37e2d5e6fc0a3d7a30... 'Will ANO get less than 27% of the vote i' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x38ae1c7137234dbf49... 'Will Lori Chavez-DeRemer be the first to' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x393fb0be5ca5832188... 'Will the Iran ceasefire continue through' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x397b09f00bafba0d28... 'Israel x Hezbollah Ceasefire extended by' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x3982b6b324e34f8500... 'US announces new Iran agreement/ceasefir' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x3c169e95aea67be5fa... 'Will Robert Kenyon win the 2026 Makerfie' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x3c6bcb7da14ea576e5... 'US x Iran ceasefire by March 31?' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x3cde82ee842dab1073... 'Will Alexandria Ocasio-Cortez applaud du' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x3d12e34161b87cc1d7... 'Will the next Dutch government be PVV + ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x3f41815785f3b5032e... 'Will Donald Trump say "AI" or "artificia' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x400644f216fb6712b7... 'Will Thierry Mariani win the Paris mayor' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x403edf195ed20a0fe0... 'Will Trump talk to Volodymyr Zelenskyy i' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x4048fed324ac27f378... 'Will Trump release the Epstein files by ' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x40a0d836da9f5e6b4a... 'Will Trump meet with Putin by September ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x40cf230326551f5c76... 'Will Israel or the US target an Iranian ' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x4187222f43512fd1a0... 'Will Donald Trump say "Putin" 3+ times d' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x433f0e14de07b6a841... 'Will Sean Duffy be the first to leave th' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x454fb3cd3e0f3c6fb5... 'Will Donald Trump say "eighth war" or "e' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[BACKFILL] Progress: 100/360 — updated=63, not_found=36, skipped=0, errors=0
[DRY-RUN][CLOB-ASSERT] 0x45c94e343c9b3b850a... 'Will the U.S. test a nuclear weapon by N' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x463740b94f81e794ef... 'Will Iran strike Israel on March 2?' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x4668b63cb67ab4c341... 'Will Israel first announce ceasefire on ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x46c09232d356fdbe5e... 'Will the Iran ceasefire continue through' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x4761e83680407e28e2... 'Will the U.S. test a nuclear weapon by D' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x4784665f5baa12fa9e... 'Will Andy Burnham win the 2026 Makerfiel' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x4997c22d314ed5e9f3... 'Will the Iran ceasefire continue through' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x4c238bfea00c8c8aca... 'Will Trump lower tariffs on Mexico by De' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x4c31f81c148cbbec79... 'Will Israel first announce ceasefire on ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x4cee84284b7b630d17... 'Will Russia test a nuclear weapon by Nov' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x5258ec0ea2daab9791... 'Will Trump lower tariffs on China by Apr' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x54644fe42bf2db082b... 'US announces new Iran agreement/ceasefir' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x551c1b3d6eafb24321... 'Will Donald Trump say "Mar-a-Lago" durin' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x56c45af8a9da050209... 'Will the next Dutch government be GL/Pvd' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x56f52514f054738842... 'Will Donald Trump announce Patrick Pizze' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x592b2718bb5e413afd... 'Will Israel first announce ceasefire on ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x5a50b19d1e20072ff3... 'Will Iran strike Israel on March 3?' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x5a63aec184cfbb229c... 'Will Israel first announce ceasefire on ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x5c630cce90873c6216... 'Will the Iran ceasefire continue through' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x5cfc17a6d372438a3f... 'Will the U.S. tariff rate on China be gr' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x5d837be188a2b5e823... 'Will Donald Trump be named in newly rele' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x5d87eb09704572f515... 'Will Israel or the US target Isfahan Nuc' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x5d88fc90a7da804711... 'Will Donald Trump be the next leader out' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x5dc02c6c95ae9baef2... 'Will 8 judges rule in favor of Trump's T' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x5df7c923f86f4423f4... 'Will federal employees receive back pay ' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x5e3f1626b2f88d8a49... 'Will the U.S. tariff rate on China be be' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x5f1cb9d93988cabaa4... 'Will Iran strike Israel on March 7?' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x60dc5260cf54c0de7b... 'Will Tulsi Gabbard be the first to leave' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x6344fb580313e25b27... 'Will Donald Trump say "Russia" or "Ukrai' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x67f82fa52d453615c9... 'Will Trump talk to Kim Jong Un in Octobe' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x6a5578ca9b67902139... 'Will Donald Trump say "hell" during Isra' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x6b22117356fe309620... 'Will the Conservative Party win 47% or m' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x6be90743c85abc7187... 'Will Iran strike Abqaiq oil processing f' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x6d30f1f27c99af0b71... 'Will Russia capture Dobropillia by Augus' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x6dc5125685720ea000... 'Lee Jae-myung out as president of South ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x749fa95d944039c3f0... 'Will Mitch McConnell applaud during Trum' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x74b0726c693b80619e... 'Will the California redistricting refere' → end_date=None, winning_outcome='Yes', accepted=True, reason='written: existing value has no recorded evidence_source (pre-canonical), proposal accepted'
[DRY-RUN][CLOB-ASSERT] 0x76096c72551a499503... 'Will Donald Trump say "hostage" 4+ times' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x771de080638c0fd0de... 'Russia strike impacts Kyiv municipality ' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x78d3b7cca892a75d9b... 'Will Iran strike Ruwais Refinery by Marc' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x797a35eb9faaa2c744... 'Will Trump meet with Putin by August 31?' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x79eb18cbc8a2b3b37f... 'Will Pam Bondi be the first to leave the' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x7a4e96623e5baf75e3... 'Will Iran strike Israel on March 6?' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x7ace3e54bbcc73376c... 'Will Israel first announce ceasefire on ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x7ae9b97cc4620d5d81... 'Will Israel first announce ceasefire on ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x7aed2fb58e173740f6... 'Will the California redistricting refere' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x7d8558a5749492f844... 'Will Russia test a nuclear weapon by Dec' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x7d85e6bf4804095db2... 'Will Iran strike a Gulf State on March 4' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x7dffbcce1d6720ec06... 'Will Trump lower tariffs on Canada by Ma' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x80059ff4e694f878c0... 'US x Iran ceasefire by April 30?' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x81a5c6375be55c1a20... 'Will Catherine Connolly win the Irish Pr' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x81ec388b5717ed05da... 'Will Iran strike Israel on March 8?' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x83ae11433d9fbfc2d1... 'Will Brian Schwalb win the 2026 Democrat' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x84bc2087e714147971... 'Will Trump release the Epstein files by ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x855893bae6050fcaef... 'Another Russian incursion in Polish airs' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x855eac97a2b24dfbcf... 'Will Scott Bessent be the first to leave' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x85980a4d08e4cf7911... 'Will Rebecca Shepherd win the 2026 Maker' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x85f1d95de21a349d18... 'Will Trump say "Political Violence" duri' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x87aa0528695acd3266... 'Will the next Dutch government be PVV + ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x88b574b3b47ecfae33... 'Will the Conservative Party win between ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x897defe14e58b0dfd4... 'Will Iran strike Al Zour Refinery by Mar' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x8d3378d5c859b2f271... 'Will Iran strike Israel on March 4?' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[BACKFILL] Progress: 200/360 — updated=125, not_found=74, skipped=0, errors=0
[DRY-RUN][CLOB-ASSERT] 0x8e14bfbece423d7c5f... 'Will Donald Trump say "Syria" during Isr' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x901298837932c44136... 'Will Trump send the national guard to Ch' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x93b0c61b22b921a818... 'Will Donald Trump announce Keith Sonderl' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x94877b77d42e820573... 'Will the next Dutch government be PVV + ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x9512261b151118f08f... 'Will the next Dutch government be CDA + ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x9551f6c71d9b944c22... 'Will Trump send the national guard to Ne' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x96ac4da75d9f560b48... 'Will Donald Trump be shown 12 or more ti' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x96b46ed5ecdc2d38e5... 'Will the U.S. tariff rate on China be be' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x974d4abaaba1707d0c... 'Will the next Dutch government be GL/Pvd' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x9965a014a66ba22e68... 'Will Iran strike Israel on March 1?' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x9a57653d64d44bf591... 'Will Rachida Dati win the Paris mayor el' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x9b13e676a964d0c87f... 'Will Israel or the US target an Iranian ' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xa0c363fd4e398676a4... 'Will Donald Trump say "beautiful" during' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xa39a77208f3520d79b... 'Will Iran strike a Gulf State on March 7' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xa4dc02763b1395ffde... 'Will Trump talk to Benjamin Netanyahu in' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xa506b4f34e0b07f982... 'Will UAE strike Iran by March 31?' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xa5fbd535bcf6b79584... 'Will Israel first announce ceasefire on ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xa7d9620a13637f04a9... 'Will STAČILO! get less than 5% of the vo' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xa825060543929a11ab... 'Will Germany strike Iran by March 31?' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xa9331a9cceb4d83a5b... 'Will Zachary Parker win the 2026 Democra' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xaa85f738ed5451cae2... 'Will Iran strike Burj Khalifa by March 3' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xab8270630627edc601... 'Will Donald Trump say "phase two" or "se' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xac916b490bff5080b3... 'Will the next Dutch government be PVV + ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xac9c6628a5398bb2a0... 'Will Trump release the Epstein files by ' → end_date=None, winning_outcome='Yes', accepted=True, reason='written: existing value has no recorded evidence_source (pre-canonical), proposal accepted'
[DRY-RUN][CLOB-ASSERT] 0xada6b6f60fa72066bc... 'Will ANO get between 27% and 30% of the ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xaec55d60592ee1ca55... 'Will Trump release the Epstein files by ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xaf469095c53313acfc... 'Will Phil Mendelson win the 2026 Democra' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xaf752a45f5e17cefff... 'Will Israel first announce ceasefire on ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xb02bee7451a745aa0f... 'Will the next Dutch government be PVV + ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xb106577faa4d93cf6d... 'Will Trump say "Radical Left" 3+ times d' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xb1097a9c4491522f8c... 'Russia strike impacts Kyiv municipality ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xb289110c3ef8994b60... 'Will Israel first announce ceasefire on ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xb5791a0f136a848d8d... 'Will Iran strike a Gulf State on March 6' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xb82b77689a74a55992... 'Will Brianne K. Nadeau win the 2026 Demo' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xb89a21f2452a9fa13b... 'Will the next Dutch government be PVV + ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xb92fb935fa97388ad8... 'Will Israel first announce ceasefire on ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
