idx,market_id,title,market_slug,event_slug,event_title,stratum,stored_label,classifier_call,batch_position,title_len,has_slug_context,m9_keyword_path,provisional_verdict,subtype,provisional_reason
11,0xbfdf11340f4fc30d4990385a781d7e7c4e27b8a87b69843b88b04cb0137b5632,Will Joe Biden rank in Google’s Top 5 Most Searched People of 2025?,will-joe-biden-rank-in-googles-top-5-most-searched-people-of-2025,top-5-most-searched-people-on-google-2025,Top 5 Most Searched People on Google 2025,gamma_backfill,Elections,NotRelevant,5,67,Y,Y,STORED_LABEL_ERROR,personal/popularity,"Google search-ranking popularity contest, not a vote or official conduct"
12,0xc040d6c7cd13bd943ba23ae3b56480d193e236ecd1ad647b459452f4f1e782a0,"Will anyone say ""Tariff"" 5+ times during 1st NYC mayoral debate on October 16?",will-anyone-say-tariff-5-times-during-1st-nyc-mayoral-debate-on-october-16-684,what-will-be-said-at-1st-nyc-mayoral-debate-on-october-16-288,What will be said at 1st NYC mayoral debate on October 16?,gamma_backfill,Elections,NotRelevant,11,78,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to an official NYC mayoral debate
13,0xc0aab08b57fd685ad90b7619b18032475e2400d650f6c2d9ed73d9a9adc251ac,"Will Trump say ""Million"" or ""Billion"" or ""Trillion"" 10+ times during Norway PM events on April 24?",will-trump-say-million-or-billion-or-trillion-10-times-during-norway-pm-events-on-april-24,what-will-trump-say-during-events-with-norway-pm-on-april-24,What will Trump say during events with Norway PM on April 24?,gamma_backfill,Elections,NotRelevant,10,98,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to Norway PM events -- diplomatic appearance
14,0xc226bfae5a4319eeee04d6c64e0993728b6c375bedde7a990ce2d308da3cd3f7,Will Kanye West perform the star spangled banner at Trump's inauguration?,will-kanye-wes-perform-the-star-spangled-banner-at-trumps-inauguration,who-will-perform-the-star-spangled-banner-at-trump-inauguration,Who will sing the national anthem at Trump inauguration? ,gamma_backfill,Elections,NotRelevant,4,73,Y,Y,STORED_LABEL_ERROR,personal/entertainment,"market resolves on Kanye West's performance, not on Trump's own conduct"
15,0xcd4e5bf8cefe10729cd72eeca5724469b8b4c675c822962f991a6b5cd4cc2592,"Will Keir Starmer say ""Covid"" or ""Pandemic"" during the next Prime Minister's Questions?",will-keir-starmer-say-covid-or-pandemic-during-the-next-prime-ministers-questions,what-will-keir-starmer-say-at-the-next-prime-ministers-questions-event,What will Keir Starmer say at the next Prime Minister's Questions event? ,gamma_backfill,Elections,NotRelevant,9,87,Y,Y,CLASSIFIER_MISS,say/post-prop,"scoped to PMQs, an official parliamentary event (Starmer)"
16,0xe1c263e49c3b756332140d12142fe37911a19f76f308c850b3148f8ff387ea28,Will Trump’s approval rating be between 45.0% and 45.4% on September 26?,will-trumps-approval-rating-be-between-45pt0-and-45pt4-on-september-26,trump-approval-rating-on-september-26,Trump approval rating on September 26?,gamma_backfill,Elections,NotRelevant,13,72,Y,Y,GENUINELY_AMBIGUOUS,approval-rating,"approval-rating tracking is political-figure-adjacent but is a poll number, not a vote outcome or 'official conduct' under the rubric's literal text"
17,0xe9aa1dc853b0280427274e950975974506d9e5f4f5bc897f3a87a5d591e964ae,Will Trump’s approval rating be 43.5–43.9% on September 5?,will-trumps-approval-rating-be-43pt543pt9-on-september-5,trump-approval-rating-on-september-5,Trump approval rating on September 5?,gamma_backfill,Elections,NotRelevant,12,58,Y,Y,GENUINELY_AMBIGUOUS,approval-rating,same as above
18,0xe9f9a83f98e1bfcc01e5e79ecafb648f8843be2e2d36121fa331ede382c91f89,"Will Trump say ""MAGA"" 4 or more times during his Arizona rally?",will-trump-say-maga-4-or-more-times-during-his-arizona-rally,what-will-trump-say-during-arizona-rally,What will Trump say during Arizona rally?,gamma_backfill,Elections,NotRelevant,9,63,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to an official campaign rally
19,0xf207bc37c2ca219dfcac4b02708a1e2c3cfa100873a966a2052836b0d88849c4,Will Trump's 538 approval rating be 49% or more on February 14?,will-trumps-538-approval-rating-be-49-or-more-on-february-14,trump-538-approval-rating-on-feb-14,Trump 538 approval rating on Feb 14?,gamma_backfill,Elections,NotRelevant,12,63,Y,Y,GENUINELY_AMBIGUOUS,approval-rating,same as #16
20,0xf6ff70ccf95bfa0554f4d4b7a2a08005f5be55957d3a5090f1bd2973237e230f,"Will anyone say ""Sexual"" or ""Harassment"" during 1st NYC mayoral debate on October 16?",will-anyone-say-sexual-or-harassment-during-1st-nyc-mayoral-debate-on-october-16-913,what-will-be-said-at-1st-nyc-mayoral-debate-on-october-16-288,What will be said at 1st NYC mayoral debate on October 16?,gamma_backfill,Elections,NotRelevant,6,85,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to an official NYC mayoral debate
21,0xac0000656eef181e74e37ac0fe4ead612754c80e4f98021a4e3d2f8be9797678,Will Trump meet with Jerome Powell by August 31?,will-trump-meet-with-jerome-powell-by-august-31,will-trump-meet-with-jerome-powell-by-august-31,Will Trump meet with Jerome Powell by August 31?,gamma_backfill,Geopolitics,NotRelevant,15,48,Y,Y,CLASSIFIER_MISS,official-meeting,a president's official diplomatic/institutional meeting
22,0xb36463935d61f9d6881646e18bb77c5c3b71c4ce7d32782e6598b60e95498210,"Will Trump say ""Boeing"" this week?",will-trump-say-boeing-this-week-256,what-will-trump-say-this-week-283,What will Trump say this week?,gamma_backfill,Geopolitics,NotRelevant,15,34,Y,Y,CLASSIFIER_MISS,say/post-prop,unscoped-event 'say' prop but subject is Trump in office; conduct in political capacity
23,0xbe83f073318a021636e408a556c3bd806d09e3175008a75e10dcd2a2981a6ad3,Trump Family launches coin by Friday?,trump-family-launches-coin-by-friday,trump-family-launches-coin-by-friday,Trump Family launches coin by Friday?,gamma_backfill,Geopolitics,NotRelevant,15,37,Y,Y,STORED_LABEL_ERROR,personal-business,"Trump family's commercial crypto-coin venture, not his official conduct"
24,0xc737985505dee6ec77e5a0a73d8c0c3c6733b18f1277fdff644b8fdaf2ff2ae6,"Will Volodymyr Zelenskyy say ""Elon"" during his Business Roundtable appearance?",will-volodymyr-zelenskyy-say-elon-during-his-business-roundtable-appearance,what-will-trump-say-during-business-roundtable-appearance-today,What will Trump say during Business Roundtable appearance today?,gamma_backfill,Geopolitics,NotRelevant,18,78,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to a Business Roundtable appearance (Zelenskyy)
25,0xc83834fd43682d912e56749fe99bb3e3f7e51324a461d59fafe6fbe6f0afa7b0,US grants license for new nuclear reactor in 2025?,us-grants-license-for-new-nuclear-reactor-in-2025,us-grants-license-for-new-nuclear-reactor-in-2025,US grants license for new nuclear reactor in 2025?,gamma_backfill,Geopolitics,NotRelevant,13,50,Y,Y,GENUINELY_AMBIGUOUS,domestic-regulatory,"'state action' but purely domestic nuclear licensing, no international-relations component -- boundary reading of the Geopolitics definition"
26,0x163f0a71361ecf540bdefe45619e91c596b51a033bbdde39d9ac7a94c4d2546f,Will Trump post 240 or more times on Truth Feb 21-28?,will-trump-post-240-or-more-times-on-truth-feb-21-28,donald-trump-of-truth-social-posts-feb-21-28,Donald Trump # of Truth Social posts Feb 21-28?,historical_backfill,Elections,NotRelevant,16,53,Y,Y,CLASSIFIER_MISS,truth-post-count,Truth Social post-count; his conduct in office
27,0x4a41eba8bd729f6c93e1fe66524168fd2a65ecccd3a88e6a1501a8635f00bdb7,Will Trump eliminate daylight saving time in first 100 days?,will-trump-eliminate-daylight-saving-time-in-first-100-days,will-trump-eliminate-daylight-saving-time-in-first-100-days,Will Trump eliminate daylight saving time in first 100 days?,historical_backfill,Elections,NotRelevant,15,60,Y,Y,CLASSIFIER_MISS,policy-action,a president's policy decision (DST) -- official conduct
28,0x8eb7da780a22ba84901551936753fce5f0082ea774efc0e19bcf93c88e6f47a8,Will Donald Trump visit Montana in 2026?,will-donald-trump-visit-montana-in-2026,which-states-will-donald-trump-visit-in-2026,Which states will Donald Trump visit in 2026?,historical_backfill,Elections,NotRelevant,7,40,Y,Y,CLASSIFIER_MISS,official-travel,presidential state-visit travel is official conduct
29,0xb394f6cc7ae147c16deebd8d14fc2997c421de73c77560aeb0be5b8586ba30c9,"Will Donald Trump publicly insult someone on June 26, 2026?",will-donald-trump-publicly-insult-someone-on-june-26-2026-493,will-trump-publicly-insult-someone-onptptpt,Will Trump publicly insult someone on...?,historical_backfill,Elections,NotRelevant,16,59,Y,Y,GENUINELY_AMBIGUOUS,personal-conduct-boundary,"'publicly insult someone' is behavior, not a policy act or vote; defensible either way under 'official conduct'"
30,0xb50e4eb3b151f97e8656e814953c818b12347e71a3924a62e19ef9d7ff4bb339,"Will Trump say ""Bitcoin"" 5+ times during his Bitcoin Conference speech?",will-trump-say-bitcoin-5-times-during-his-bitcoin-conference-speech,what-will-trump-say-during-his-bitcoin-conference-speech,What will Trump say during his Bitcoin Conference speech?,historical_backfill,Elections,NotRelevant,15,71,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to a Bitcoin Conference speech
31,0xcd53012542e36ebd0f8ed812361d02579e1c2c9b52127e4fa94c724173e835d1,"Will Trump say ""Moon"" during Saudi PM events on November 18?",will-trump-say-moon-during-saudi-pm-events-on-november-18,what-will-trump-say-during-saudi-pm-events-on-november-18,What will Trump say during Saudi PM events on November 18?,historical_backfill,Elections,NotRelevant,11,60,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to Saudi PM events -- diplomatic appearance
32,0xd17e65dbb48341946ae13b339629f2045377b72212e8619ee9f46e32000a4c4b,Will Trump pardon Steve Bannon in his first 100 days?,will-trump-pardon-steve-bannon-in-his-first-100-days,trump-pardons,Who will Trump pardon in first 100 days?,historical_backfill,Elections,NotRelevant,14,53,Y,Y,CLASSIFIER_MISS,official-action,presidential pardon -- official conduct
33,0xd1ba8493081fd81af8c49e17894520ed363e36496ccd57d06cc4459481bca887,"Will Trump say ""China"" 10 or more times during Pennsylvania rally on October 26?",will-trump-say-china-10-or-more-times-during-pennsylvania-rally-on-october-26,what-will-trump-say-during-pennsylvania-rally-oct-26,What will Trump say during Pennsylvania rally?,historical_backfill,Elections,NotRelevant,20,80,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to a campaign rally
34,0xd837e5deb894a485d1c4558e81c31ea2192205c9a15c114a06f69f558db2499e,Will Elon Musk rejoin the Trump Administration this year?,will-elon-musk-rejoin-the-trump-administration-this-year,will-elon-musk-rejoin-the-trump-administration-this-year,Will Elon Musk rejoin the Trump Administration this year?,historical_backfill,Elections,NotRelevant,20,57,Y,Y,CLASSIFIER_MISS,official-staffing,cabinet/administration staffing -- official conduct
35,0x8c77e475e157978c4329d3ead939b1dc9d240a18f1b7bc9cf8cf596cfd6eb5fa,Fact Check: Did the U.S. hit Iranian spy ship?,fact-check-did-the-us-hit-iranian-spy-ship,fact-check-did-the-us-hit-iranian-spy-ship,Fact Check: Did the U.S. hit Iranian spy ship?,historical_backfill,Geopolitics,NotRelevant,6,46,Y,Y,CLASSIFIER_MISS,geopolitics-conflict,US military action against an Iranian vessel -- armed conflict/state action
36,0xa4330e0b9eefc38851c2e077c3dfbfd94efc5c8dc97a21e1f63c112458a628d6,Will Donald Trump visit North Dakota in 2026?,will-donald-trump-visit-north-dakota-in-2026,which-states-will-donald-trump-visit-in-2026,Which states will Donald Trump visit in 2026?,historical_backfill,Geopolitics,NotRelevant,10,45,Y,Y,CLASSIFIER_MISS,official-travel,presidential state-visit travel
37,0xb6e4777d0bf9164b51e3445e7939d69003822cb34e1b020fe13a8e0d51016c58,Will Donald Trump be named in newly released Epstein files?,will-donald-trump-be-named-in-newly-released-epstein-files,who-will-be-named-in-newly-released-epstein-files,Who will be named in newly released Epstein files in 2025?,historical_backfill,Geopolitics,NotRelevant,1,59,Y,Y,GENUINELY_AMBIGUOUS,scandal-content,"about the *content* of released files naming Trump, not an official act he performed -- closer to personal implication than conduct"
38,0xd20eb008e614c013274107d205ddfc4971d5b63210fc32332896f8f80b323a8b,Trump strikes another drug boat by Sep 30?,will-trump-strikes-another-drug-boat-by-sep-30,will-trump-strikes-another-drug-boat-by-sep-30,Trump strikes another drug boat by Sep 30?,historical_backfill,Geopolitics,NotRelevant,16,42,Y,Y,CLASSIFIER_MISS,geopolitics-conflict,military strike -- armed conflict/state action
39,0x0204ef57d8c17643b87f09077d99190f6540f1211d238b140ed19e50fdd0639f,"Will Donald Trump post 200+ Truth Social posts from March 31 to April 7, 2026?",donald-trump-of-truth-social-posts-march-31-april-7-200plus,donald-trump-of-truth-social-posts-march-31-april-7,"Donald Trump # Truth Social posts March 31 - April 7, 2026?",live_monitoring,Elections,NotRelevant,16,78,Y,Y,CLASSIFIER_MISS,truth-post-count,Truth Social post-count; conduct in office
40,0x0d6ac84be8ecd406cde813368de76d133e1c1b7a3d8e74b5718c1d8964fa91de,Will Trump pardon Diddy by October 31?,will-trump-pardon-diddy-by-october-31,will-trump-pardon-diddy-by-october-31,Will Trump pardon Diddy by October 31?,live_monitoring,Elections,NotRelevant,12,38,Y,Y,CLASSIFIER_MISS,official-action,presidential pardon
41,0x0dc9832083677c8ac022380fc75ae771b25b470f50a1dbecbd58664c65e24b30,Will Trump tweet 30-34 times Nov 22-29?,will-trump-tweet-30-34-times-nov-22-29,donald-trump-of-tweets-nov-22-29,Donald Trump # of tweets Nov 22-29?,live_monitoring,Elections,NotRelevant,6,39,Y,Y,CLASSIFIER_MISS,tweet-count,tweet-count market; conduct in office
42,0x1673be7b7c9311a8de9a97cee95407a7704d0a1e97e683c2dfd40f285c933527,"Will Donald Trump post 60-79 Truth Social posts from May 19 to May 26, 2026?",arch-donald-trump-of-truth-social-posts-may-19-may-26-60-79,arch-donald-trump-of-truth-social-posts-may-19-may-26,"Donald Trump # Truth Social posts May 19 - May 26, 2026?",live_monitoring,Elections,NotRelevant,10,76,Y,Y,CLASSIFIER_MISS,truth-post-count,Truth Social post-count
43,0x1ddd793f4dd75101ed8af27abb4b33b05131319d7a4a36b7d8664988c90dda44,"Will Trump say ""Trump-Kennedy Center"" or ""Trump Kennedy"" in April?",will-trump-say-trump-kennedy-center-or-trump-kennedy-in-april,what-trump-named-things-will-trump-mention-in-april,What Trump-named things will Trump mention in April?,live_monitoring,Elections,NotRelevant,19,66,Y,Y,CLASSIFIER_MISS,say/post-prop,"unscoped 'say' prop, subject Trump in office"
44,0x22a566151b7e33470ab807668ff6f6342709f95d9cc01e69233ed72f5eace413,"Will 61 or more U.S. senators vote ""Yea"" on the next funding bill by October 31?",will-61-or-more-us-senators-vote-yea-on-the-next-funding-bill-by-october-31,how-many-us-senators-vote-yea-on-the-next-funding-bill,"How many U.S. senators vote ""Yea"" on the next funding bill by October 31?",live_monitoring,Elections,NotRelevant,16,80,Y,Y,CLASSIFIER_MISS,legislative-vote,a Senate roll-call vote outcome -- textbook Elections
45,0x22fde80de42805927ea42ab0c473abcd840770a2ddc0cb3295cf5b882919c1b0,"Will Trump’s approval rating be less than 37.5 on May 29, 2026?",will-trumps-approval-rating-be-less-than-37pt5-on-may-29-2026,trump-approval-rating-on-may-29,Trump approval rating on May 29?,live_monitoring,Elections,NotRelevant,12,63,Y,Y,GENUINELY_AMBIGUOUS,approval-rating,same boundary as #16
46,0x365f264f575021901e4affa2ced0295c9dc78a235c0d5b35209e81b914a1504f,"Italian solidary responsibility of the client, contractor, and subcontractor for injuries  referendum",italian-solidary-responsibility-of-the-client-contractor-and-subcontractor-for-injuries-referendum,italian-referendum,Italian Referendum,live_monitoring,Elections,NotRelevant,12,101,Y,Y,CLASSIFIER_MISS,referendum,literally a referendum -- textbook Elections
47,0x384cab27e0f54354fac44a08f46c6917b3ea9d3a144e7b8d9a31662157802c16,"Will 7 or more people leave the Trump Cabinet by December 31, 2026?",will-7-or-more-people-leave-the-trump-cabinet-by-december-31-2026,how-many-more-people-leave-the-trump-cabinet-this-year,How many more people leave the Trump cabinet this year?,live_monitoring,Elections,NotRelevant,16,67,Y,Y,CLASSIFIER_MISS,official-staffing-count,cabinet departures -- official conduct/staffing
48,0x3c6983baa8bd7828cdeb8114811d1a1b6df6a813678294033bdbfd2bd2d3fa82,"Will Donald Trump post 60-79 Truth Social posts from February 13 to February 20, 2026?",donald-trump-of-truth-social-posts-february-13-february-20-60-79,donald-trump-of-truth-social-posts-february-13-february-20,"Donald Trump # Truth Social posts February 13 - February 20, 2026?",live_monitoring,Elections,NotRelevant,17,86,Y,Y,CLASSIFIER_MISS,truth-post-count,Truth Social post-count
49,0x3ff0d19c21634033d0d3540d4821297ebf0d60becfc6732e001bb3db65f12cce,"Will Trump say ""Big beautiful deal"" during his May 13 interview?",will-trump-say-big-beautiful-deal-during-his-may-13-interview,what-will-trump-say-during-hannity-interview-on-may-13,What will Trump say during Hannity interview on May 13?,live_monitoring,Elections,NotRelevant,9,64,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to a named interview
50,0x3ffbe525251ac888a854af69cbe683a5da6da0661dbb118ff9c527e0f61b511c,Will Trump issue an executive order on February 15?,will-trump-issue-an-executive-order-on-february-15,will-trump-issue-an-executive-order-on-february-15,Will Trump issue an executive order on February 15?,live_monitoring,Elections,NotRelevant,14,51,Y,Y,CLASSIFIER_MISS,official-action,executive order -- official conduct
51,0x4080862f24218a65831fc4bb51395690c028fe3065d27b10da98e1a95ae02057,Will Trump pardon Hunter Biden in 2025?,will-trump-pardon-hunter-biden-in-2025-336-867-874,who-will-trump-pardon-in-2025,Who will Trump pardon in 2025?,live_monitoring,Elections,NotRelevant,19,39,Y,Y,CLASSIFIER_MISS,official-action,presidential pardon
52,0x40d49050a9d99b65af38f17587887015ca52eeff91821faad330c6539763fac5,"Will Donald Trump post 80-99 Truth Social posts from May 15 to May 22, 2026?",donald-trump-of-truth-social-posts-may-15-may-22-80-99,donald-trump-of-truth-social-posts-may-15-may-22,"Donald Trump # Truth Social posts May 15 - May 22, 2026?",live_monitoring,Elections,NotRelevant,15,76,Y,Y,CLASSIFIER_MISS,truth-post-count,Truth Social post-count
53,0x41c9ea471e832676b9c67ef475dc7c978a5c3a1c5df4e5163431bec2d174c16f,Will Pam Bondi be the first to leave the Trump Cabinet before 2027?,will-pam-bondi-be-the-first-to-leave-the-trump-cabinet-before-2027-747,who-will-be-the-first-to-leave-the-trump-cabinet-828,Who will be the first to leave the Trump Cabinet?,live_monitoring,Elections,NotRelevant,4,67,Y,Y,CLASSIFIER_MISS,official-staffing,cabinet departure order
54,0x426cc911ba800b7de5de27ad1e6363733bd9fc9411bff8032399792ebb882ba9,"Will Trump post ""Make Iran Great Again"" or ""MIGA"" on Truth Social this week?",will-trump-post-make-iran-great-again-or-miga-on-truth-social-this-week,what-will-trump-post-this-week-april-6-april-12,What will Trump post this week? (April 6 - April 12),live_monitoring,Elections,NotRelevant,7,76,Y,Y,CLASSIFIER_MISS,say/post-prop,Truth Social post content -- conduct in office
55,0x47dd8effe5d8fc842045c1a893b66a5b9c104a97f48ab7e11f17d2b4a2bc1ce5,"Will Leavitt say ""President"" 66+ times during the next White House Press Briefing?",will-leavitt-say-president-66-times-during-the-next-white-house-press-briefing-528,what-will-karoline-leavitt-say-during-the-next-white-house-press-briefing-199,What will Karoline Leavitt say during the next White House press briefing?,live_monitoring,Elections,NotRelevant,3,82,Y,Y,CLASSIFIER_MISS,say/post-prop,WH Press Secretary briefing -- official political-capacity conduct
56,0x546ee40fd8a813f43c42ef8dc8bba665cadffff0d26400b1bba45e480d9e45fa,"Will Trump say ""Win Win Win"" during Kentucky visit?",will-trump-say-win-win-win-during-kentucky-visit,what-will-trump-say-during-kentucky-visit,What will Trump say during Kentucky visit? ,live_monitoring,Elections,NotRelevant,18,51,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to an official visit
57,0x55fd88a3d642a74af3a2ea4735f076129525841e7825b6f2939bf613f1454a9a,$100m in $WLFI sold before election?,10b-wlfi-sold-before-election,10b-wlfi-sold-before-election,$100m in $WLFI sold before election?,live_monitoring,Elections,NotRelevant,9,36,Y,Y,STORED_LABEL_ERROR,financial-crypto,"crypto token sale timed relative to 'the election' -- election is a timestamp reference, not the resolution condition; keyword collision"
58,0x5f221dfa49db04ef809abec8ebeee57c120f6f56bc13958729e688c6a6c75912,Will Trump’s approval rating be less than 40.5 on November 21 2025?,will-trumps-approval-rating-be-less-than-40pt5-on-november-21-2025,trump-approval-rating-on-november-21,Trump approval rating on November 21?,live_monitoring,Elections,NotRelevant,8,67,Y,Y,GENUINELY_AMBIGUOUS,approval-rating,same boundary as #16
59,0x6125a4aced2daf5f46687e97711ea3f1228b7560cd9fb145eb21d7346f02e03d,Trump approval Up or Down this week?,trump-approval-up-or-down-this-week-128,trump-approval-up-or-down-this-week-128,Trump approval Up or Down this week?,live_monitoring,Elections,NotRelevant,12,36,Y,Y,GENUINELY_AMBIGUOUS,approval-rating,same boundary as #16 (directional variant)
60,0x74bf674f5798b2026ad11cf9e573faed87fd268e6ed99b416e94fc7df24533d3,"Will Donald Trump post 80-99 Truth Social posts from May 5 to May 12, 2026?",donald-trump-of-truth-social-posts-may-5-may-12-80-99,donald-trump-of-truth-social-posts-may-5-may-12,"Donald Trump # Truth Social posts May 5 - May 12, 2026?",live_monitoring,Elections,NotRelevant,14,75,Y,Y,CLASSIFIER_MISS,truth-post-count,Truth Social post-count
61,0x7d0ef777b27d61ff00ef4b2709e76067d9bdc956803f41b0b7a2cb680e44b8e1,Trump approval Up or Down this week?,trump-approval-up-or-down-this-week-857,trump-approval-up-or-down-this-week-857,Trump approval Up or Down this week?,live_monitoring,Elections,NotRelevant,7,36,Y,Y,GENUINELY_AMBIGUOUS,approval-rating,duplicate of #59 pattern
62,0x7df9d4b20a02de144aa9fa474a16c43ebec26213a757b5b4605038952a0fed87,Will Trump's approval rating be between 48% and 50% on January 31?,will-trumps-approval-rating-be-between-48-and-50-on-january-31,trump-approval-on-rating-on-january-31,Trump approval on rating on January 31?,live_monitoring,Elections,NotRelevant,1,66,Y,Y,GENUINELY_AMBIGUOUS,approval-rating,same boundary as #16
63,0x81f7535972fd19c3143983d6b7d09b92ac3c55a7d0236b17dfd4ecffc031442c,"Will Trump or Melania say ""Filibuster"" at Chicago Opening Night?",will-trump-or-melania-say-filibuster-at-chicago-opening-night,what-will-trump-and-melania-say-during-chicago-opening-night,What will Trump and Melania say during Chicago Opening Night? ,live_monitoring,Elections,NotRelevant,15,64,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to a named public event
64,0x845d778211c58d3effac500c1572c3186e0c0fce49a103ef181b38c7a29b2a73,"Will Donald Trump post 20-39 Truth Social posts from April 17 to April 24, 2026?",donald-trump-of-truth-social-posts-april-17-april-24-20-39,donald-trump-of-truth-social-posts-april-17-april-24,"Donald Trump # Truth Social posts April 17 - April 24, 2026?",live_monitoring,Elections,NotRelevant,7,80,Y,Y,CLASSIFIER_MISS,truth-post-count,Truth Social post-count
